SubID,subject,correct,total_trials,trial_type,condition,condition_non_rec,probe_type,sub_idx
6583323,198,0,1,1,-1,1,-0.5,195
6583323,198,1,1,3,-1,1,-0.5,195
6583323,198,1,1,3,-1,1,0.5,195
6576543,199,1,1,1,1,2,-0.5,196
6576543,199,0,1,3,1,2,-0.5,196
6576543,199,1,1,3,1,2,0.5,196
6576626,200,1,1,1,1,2,-0.5,197
6576626,200,0,1,3,1,2,-0.5,197
6576626,200,0,1,3,1,2,0.5,197
6576643,201,0,1,1,1,2,-0.5,198
6576643,201,0,1,3,1,2,-0.5,198
6576643,201,0,1,3,1,2,0.5,198
6576836,202,1,1,1,1,2,-0.5,199
6576836,202,1,1,3,1,2,-0.5,199
6576836,202,1,1,3,1,2,0.5,199
6577326,203,0,1,1,1,2,-0.5,200
6577326,203,1,1,3,1,2,-0.5,200
